L.p.,crossoverChance,mutationChance,numberOfMixes,nofPointsMax,nofPointsMin,thicknessMax,thicknessMin,divider,size,Benford
168,0.7095829395897575,0.00010903219704487186,180,15,13,1,1,300,42190,-1.5016467867980798
169,0.24134694264646514,0.00041385977167069494,35,18,9,1,1,854,45348,-5.483834430278168
170,0.34733463552508753,0.0005899645245928887,281,5,2,3,1,58,35240,-2.1442095532258127
171,0.17482898911968495,0.00045996594621206476,325,11,10,1,1,328,16694,-3.492610683735315
172,0.5694806115455542,0.00021774522630255993,441,11,5,4,2,512,55600,-1.5214000828402447
173,0.8911064595502044,0.00020007312692122927,397,4,1,3,1,1448,24546,-7.505062196689874
174,0.5368850558627755,0.0009379207447097421,375,2,1,1,1,822,56926,-2.821241861888896
175,0.2892554262917123,0.0009355312124103171,217,19,6,4,2,374,46870,-4.059462212119242
176,0.16585733987851495,0.000766751405953052,193,34,21,3,2,1518,93098,-1.5249922853589502
177,0.8137608555449504,0.00042643533649703127,207,27,14,3,2,547,14306,-11.60637971256446
178,0.7946547090764169,9.569578568467225e-05,437,6,4,4,1,282,28518,-5.732111667483691
179,0.8348649268678081,0.00027279309182367677,56,29,29,2,1,96,6696,-4.656666422501229
180,0.16388241746440413,0.00042910426610891467,199,6,6,1,1,972,32110,-5.982742009068369
181,0.28977281590878745,0.0005035836104380158,331,2,1,3,2,1016,84990,-14.964940478554448
182,0.7107655233401847,0.0003278104232774819,85,21,14,2,1,365,21640,-3.3325170551230183
183,0.8693006699868348,0.0008414854632974652,336,23,18,3,2,1075,17998,-14.826130184173975
184,0.24830794991222638,0.0009690231476029156,436,7,5,2,2,656,99666,-1.5111787001903607
185,0.5239798976208517,0.0009142300718895186,214,37,7,1,1,1134,13016,-15.327699521625975
186,0.713886916046882,0.0008649083981575736,185,14,7,1,1,1246,87536,-5.5590506475506185
187,0.727064235105014,0.0007025524330752,183,14,5,3,2,547,24742,-6.334110748705115
188,0.3738241121379261,0.0002562404027220522,118,11,6,4,1,943,11278,-1.5430412673453675
189,0.6849881779627184,0.00016714414559832543,432,26,18,3,1,1914,67330,-9.724754301320406
190,0.5872041696906009,0.0009024032550948755,274,38,13,2,1,1044,12662,-15.339770271688167
191,0.8645245284111048,0.00029384443807645605,348,11,6,2,2,696,9104,-10.06619695650952
192,0.8433086851527177,0.00021146111955891336,356,16,9,2,1,443,43332,-4.612745084258203
193,0.6465860121746523,0.0009386953150139522,337,8,6,4,4,942,47150,-1.504620936700619
194,0.20680427675862223,0.0008872396205457083,259,5,1,3,1,486,47196,-4.9320402337384115
195,0.30633799377665605,0.0006312923160759656,455,1,1,3,2,1323,53824,-13.825246170740446
196,0.50380814970974,0.0004867186176610494,479,6,1,3,2,698,19830,-1.5752698370683833
197,0.8009071849615944,0.0002491882261988446,493,35,5,2,2,1162,7718,-15.745847664655397
198,0.40547335700880827,0.0008879472642036194,303,13,7,2,2,235,53912,-3.4922151970565607
199,0.34548167902624116,0.00012173822731004265,401,19,6,2,1,628,33654,-6.258231986206715
200,0.545908947627657,0.00033791634839587493,294,5,4,5,5,963,29336,-12.062308963348432
201,0.2450432588872755,4.3993011289566216e-05,76,3,3,2,2,51,2176,-4.758598244361614
202,0.23142221394886528,0.00047585678972275543,217,35,9,3,1,66,65404,-1.5156495837494346
203,0.3724901330441608,1.7138170281135672e-05,67,4,3,1,1,73,2958,-8.894612305835857
204,0.31270426639681825,1.780529099978738e-05,58,3,1,1,1,89,2994,-7.811124235920137
205,0.23361506456520634,0.0006961500905196026,125,7,6,1,1,1141,44968,-6.056273529002648
206,0.30998840414476125,9.122634750843686e-05,81,5,5,2,2,75,1784,-4.648496044668757
207,0.22090334902017583,0.00023172840495915866,162,3,3,3,2,1277,12586,-12.558446539010568
208,0.6573924996306333,0.00044847121484148074,244,35,28,1,1,172,84256,-8.661501823125597
209,0.7694474354726557,0.0005966061514108968,75,22,15,1,1,1337,10746,-9.836306090736077
210,0.703330441894895,0.0006570061494504459,320,10,6,2,2,686,43260,-4.068199461933743
211,0.5401930584956983,0.0001231624830333204,424,10,2,2,1,452,44310,-2.336355789433634
212,0.7790419309057007,0.0007541276874181386,303,17,5,5,1,714,20712,-12.345504289517569
213,0.4695922892665777,0.0009856834396640489,436,19,8,4,4,755,30512,-13.225198481513189
214,0.374216051693664,0.00044067860346565886,289,31,29,2,1,283,91248,-4.536353685509271
215,0.7350771328993974,0.0006593807099805889,257,29,28,3,2,1585,24986,-14.0820970642885
216,0.12712367818686765,0.00029696529729405835,289,9,6,2,2,895,45754,-7.047825835694938
217,0.8926484944888173,0.0001562322380479858,335,16,15,1,1,148,22938,-2.5024595571022847
218,0.4918901138819018,1.5256509636291709e-05,64,4,4,1,1,97,3256,-6.943811807522725
219,0.37005295209771194,0.00048124163968380667,122,33,21,2,2,66,66006,-2.046848495878112
220,0.22912518836354392,7.965615262349716e-05,92,1,1,1,1,72,1726,-11.060909371521285
221,0.489870801988175,6.574262387373888e-05,55,5,4,2,1,63,4710,-2.9508175807853108
222,0.5712771903407724,0.00047623993286948044,232,33,26,2,2,1068,50890,-10.773960689467463
223,0.3887788728038433,7.262492699786755e-05,85,3,3,1,1,75,2418,-9.661588658334242
